id,source,supplier_name,supplier_normalized,contract_number,title,description,category,eligible_industries,contract_type,start_date,end_date,geographic_coverage,diversity_status,contract_url,supplier_url,status
11,OMNIA,Konica Minolta Business Solutions,KONICA MINOLTA BUSINESS SOLUTIONS,OMNIA-0011,"Technology, Print & Marketing Solutions","Technology, Print & Marketing Solutions","IT & Telecom, Corporate Services","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/konica-minolta/private-sector,https://www.omniapartners.com/suppliers/konica-minolta/private-sector,active
12,OMNIA,Lowe's,LOWE'S,OMNIA-0012,Facility Supplies,Facility Supplies,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/lowes-pro/private-sector,https://www.omniapartners.com/suppliers/lowes-pro/private-sector,active
13,OMNIA,MillerKnoll,MILLERKNOLL,OMNIA-0013,Furniture & Workspace Solutions,Furniture & Workspace Solutions,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/millerknoll/private-sector,https://www.omniapartners.com/suppliers/millerknoll/private-sector,active
14,OMNIA,AMP&M,AMP&M,OMNIA-0014,Promotional Merchandise Management,Promotional Merchandise Management,"Corporate Services, Business Products & Services","Nonprofit, Enterprise, Corporate, Private Equity, Real Estate",,,,United States,WBE,https://www.omniapartners.com/suppliers/ampm/private-sector,https://www.omniapartners.com/suppliers/ampm/private-sector,active
15,OMNIA,"HD Supply, Formerly Home Depot Pro Institutional","HD SUPPLY, FORMERLY HOME DEPOT PRO INSTITUTIONAL",OMNIA-0015,"Janitorial, Industrial & MRO Solutions","Janitorial, Industrial & MRO Solutions",Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/hd-supply-formerly-home-depot-pro-institutional/private-sector,https://www.omniapartners.com/suppliers/hd-supply-formerly-home-depot-pro-institutional/private-sector,active
16,OMNIA,Ricoh Americas Corporation,RICOH AMERICAS,OMNIA-0016,Technology & Print Solutions,Technology & Print Solutions,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/ricoh/private-sector,https://www.omniapartners.com/suppliers/ricoh/private-sector,active
17,OMNIA,CentiMark,CENTIMARK,OMNIA-0017,Roofing,Roofing,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/centimark/private-sector,https://www.omniapartners.com/suppliers/centimark/private-sector,active
18,OMNIA,Fisher Scientific,FISHER SCIENTIFIC,OMNIA-0018,Lab Equipment & Supplies,Lab Equipment & Supplies,"Corporate Services, Facilities","Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/fisher-scientific/private-sector,https://www.omniapartners.com/suppliers/fisher-scientific/private-sector,active
19,OMNIA,Motion,MOTION,OMNIA-0019,Industrial Supplies & MRO,Industrial Supplies & MRO,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/motion/private-sector,https://www.omniapartners.com/suppliers/motion/private-sector,active
20,OMNIA,"Sunbelt Rentals, Inc.","SUNBELT RENTALS, .",OMNIA-0020,Equipment Rental,Equipment Rental,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/sunbelt-rentals-inc/private-sector,https://www.omniapartners.com/suppliers/sunbelt-rentals-inc/private-sector,active
21,OMNIA,TFS,TFS,OMNIA-0021,Material Handling,Material Handling,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/tfs/private-sector,https://www.omniapartners.com/suppliers/tfs/private-sector,active
22,OMNIA,Technologent,TECHNOLOGENT,OMNIA-0022,Global IT Solutions,Global IT Solutions,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,WBE,https://www.omniapartners.com/suppliers/technologent/private-sector,https://www.omniapartners.com/suppliers/technologent/private-sector,active
23,OMNIA,Populus Group,POPULUS GROUP,OMNIA-0023,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,"MBE,VBE",https://www.omniapartners.com/suppliers/populus-group/private-sector,https://www.omniapartners.com/suppliers/populus-group/private-sector,active
24,OMNIA,Staffmark Group,STAFFMARK GROUP,OMNIA-0024,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/staffmark-group-llc/private-sector,https://www.omniapartners.com/suppliers/staffmark-group-llc/private-sector,active
25,OMNIA,Staples Business,STAPLES BUSINESS,OMNIA-0025,JanSan & Breakroom Supplies,JanSan & Breakroom Supplies,"Corporate Services, Facilities","Enterprise, Corporate, Real Estate",,,,Mexico,,https://www.omniapartners.com/suppliers/staples/private-sector,https://www.omniapartners.com/suppliers/staples/private-sector,active
26,OMNIA,KONE,KONE,OMNIA-0026,Elevator Products and Services,Elevator Products and Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Global,,https://www.omniapartners.com/suppliers/kone/private-sector,https://www.omniapartners.com/suppliers/kone/private-sector,active
27,OMNIA,Rentokil,RENTOKIL,OMNIA-0027,Pest Control and Disinfection Services,Pest Control and Disinfection Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/rentokil/private-sector,https://www.omniapartners.com/suppliers/rentokil/private-sector,active
28,OMNIA,"TrueBlue Services, Inc.","TRUEBLUE SERVICES, .",OMNIA-0028,Staffing & Total Workplace Solutions,Staffing & Total Workplace Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/trueblue-services/private-sector,https://www.omniapartners.com/suppliers/trueblue-services/private-sector,active
29,OMNIA,Network Distribution,NETWORK DISTRIBUTION,OMNIA-0029,"Cleaning, Janitorial and Packaging Supplies","Cleaning, Janitorial and Packaging Supplies","Facilities, Manufacturing Materials & Services","Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/network-distribution/private-sector,https://www.omniapartners.com/suppliers/network-distribution/private-sector,active
30,OMNIA,Dayforce,DAYFORCE,OMNIA-0030,Payroll & HCM Solutions,Payroll & HCM Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/dayforce/private-sector,https://www.omniapartners.com/suppliers/dayforce/private-sector,active
31,OMNIA,Global Industrial,GLOBAL INDUSTRIAL,OMNIA-0031,Industrial Supplies & MRO,Industrial Supplies & MRO,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/global-industrial/private-sector,https://www.omniapartners.com/suppliers/global-industrial/private-sector,active
32,OMNIA,Acro,ACRO,OMNIA-0032,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,MBE,https://www.omniapartners.com/suppliers/acro-service-corporation/private-sector,https://www.omniapartners.com/suppliers/acro-service-corporation/private-sector,active
33,OMNIA,Georgia-Pacific,GEORGIA-PACIFIC,OMNIA-0033,Janitorial & Breakroom Solutions,Janitorial & Breakroom Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/georgia-pacific/private-sector,https://www.omniapartners.com/suppliers/georgia-pacific/private-sector,active
34,OMNIA,Endries,ENDRIES,OMNIA-0034,Fasteners & Related Production Components,Fasteners & Related Production Components,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/endries-international-inc/private-sector,https://www.omniapartners.com/suppliers/endries-international-inc/private-sector,active
35,OMNIA,Innova,INNOVA,OMNIA-0035,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico,MBE,https://www.omniapartners.com/suppliers/innova/private-sector,https://www.omniapartners.com/suppliers/innova/private-sector,active
36,OMNIA,Kimberly Clark Professional,KIMBERLY CLARK PROFESSIONAL,OMNIA-0036,Janitorial Supplies & Solutions,Janitorial Supplies & Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/kimberly-clark/private-sector,https://www.omniapartners.com/suppliers/kimberly-clark/private-sector,active
37,OMNIA,Advance Auto Parts,ADVANCE AUTO PARTS,OMNIA-0037,Fleet & Automotive,Fleet & Automotive,"Freight & Logistics, Facilities","Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/advance-auto-parts/private-sector,https://www.omniapartners.com/suppliers/advance-auto-parts/private-sector,active
38,OMNIA,B&H Photo,B&H PHOTO,OMNIA-0038,Audio/Visual & IT Equipment,Audio/Visual & IT Equipment,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/bh-photo/private-sector,https://www.omniapartners.com/suppliers/bh-photo/private-sector,active
39,OMNIA,PPG Paints,PPG PAINTS,OMNIA-0039,Paint & Painting Supplies,Paint & Painting Supplies,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/ppg-paints/private-sector,https://www.omniapartners.com/suppliers/ppg-paints/private-sector,active
40,OMNIA,Achilles,ACHILLES,OMNIA-0040,Supplier Risk Solutions,Supplier Risk Solutions,Corporate Services,"Enterprise, Corporate, Private Equity",,,,Global,,https://www.omniapartners.com/suppliers/achilles/private-sector,https://www.omniapartners.com/suppliers/achilles/private-sector,active
41,OMNIA,Insight Energy,INSIGHT ENERGY,OMNIA-0041,Energy Consulting and Services,Energy Consulting and Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/insight-energy/private-sector,https://www.omniapartners.com/suppliers/insight-energy/private-sector,active
42,OMNIA,PODS,PODS,OMNIA-0042,Workforce and Commercial Relocation & Storage,Workforce and Commercial Relocation & Storage,"Corporate Services, Human Resources","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/pods-enterprises-llc/private-sector,https://www.omniapartners.com/suppliers/pods-enterprises-llc/private-sector,active
43,OMNIA,C Spire,C SPIRE,OMNIA-0043,IT Products and Services,IT Products and Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/c-spire/private-sector,https://www.omniapartners.com/suppliers/c-spire/private-sector,active
44,OMNIA,Batteries Plus,BATTERIES PLUS,OMNIA-0044,"Electrical, Lighting & Batteries","Electrical, Lighting & Batteries",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/batteries-plus/private-sector,https://www.omniapartners.com/suppliers/batteries-plus/private-sector,active
45,OMNIA,TransImpact,TRANSIMPACT,OMNIA-0045,Small Parcel & LTL Logistics,Small Parcel & LTL Logistics,"Freight & Logistics, Corporate Services","Enterprise, Corporate, Private Equity",,,,Mexico; Global,,https://www.omniapartners.com/suppliers/transimpact/private-sector,https://www.omniapartners.com/suppliers/transimpact/private-sector,active
46,OMNIA,Graybar,GRAYBAR,OMNIA-0046,"Electrical, Lighting, Data & Security Solutions","Electrical, Lighting, Data & Security Solutions","IT & Telecom, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/graybar/private-sector,https://www.omniapartners.com/suppliers/graybar/private-sector,active
47,OMNIA,Corpay,CORPAY,OMNIA-0047,Corporate Payment Solutions,Corporate Payment Solutions,Financial Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Global,,https://www.omniapartners.com/suppliers/corpay/private-sector,https://www.omniapartners.com/suppliers/corpay/private-sector,active
48,OMNIA,Herc Rentals,HERC RENTALS,OMNIA-0048,Equipment Rental,Equipment Rental,Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/herc-rentals/private-sector,https://www.omniapartners.com/suppliers/herc-rentals/private-sector,active
49,OMNIA,Cellular Solutions,CELLULAR SOLUTIONS,OMNIA-0049,Cellular Consulting Services,Cellular Consulting Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/cellular-solutions/private-sector,https://www.omniapartners.com/suppliers/cellular-solutions/private-sector,active
50,OMNIA,RTi Global,RTI GLOBAL,OMNIA-0050,Plastic & Paper Packaging Solutions,Plastic & Paper Packaging Solutions,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/rti-global/private-sector,https://www.omniapartners.com/suppliers/rti-global/private-sector,active
51,OMNIA,Apto Solutions,APTO SOLUTIONS,OMNIA-0051,IT Asset Disposition,IT Asset Disposition,IT & Telecom,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/apto-solutions-inc/private-sector,https://www.omniapartners.com/suppliers/apto-solutions-inc/private-sector,active
52,OMNIA,Powerhouse Retail Services,POWERHOUSE RETAIL SERVICES,OMNIA-0052,Construction Services & Facility Maintenance,Construction Services & Facility Maintenance,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/powerhouse/private-sector,https://www.omniapartners.com/suppliers/powerhouse/private-sector,active
53,OMNIA,Connection,CONNECTION,OMNIA-0053,IT Products & Services,IT Products & Services,IT & Telecom,"Enterprise, Corporate, Private Equity",,,,Global,,https://www.omniapartners.com/suppliers/connection/private-sector,https://www.omniapartners.com/suppliers/connection/private-sector,active
54,OMNIA,Granite Telecommunications,GRANITE TELECOMMUNICATIONS,OMNIA-0054,Voice & Network Services,Voice & Network Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/granite-telecommunications/private-sector,https://www.omniapartners.com/suppliers/granite-telecommunications/private-sector,active
55,OMNIA,PalletMaxx,PALLETMAXX,OMNIA-0055,New and Reconditioned Pallets,New and Reconditioned Pallets,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/palletmaxx-inc/private-sector,https://www.omniapartners.com/suppliers/palletmaxx-inc/private-sector,active
56,OMNIA,Service Logic,SERVICE LOGIC,OMNIA-0056,HVAC Maintenance Services,HVAC Maintenance Services,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/service-logic/private-sector,https://www.omniapartners.com/suppliers/service-logic/private-sector,active
57,OMNIA,ServiceWear Apparel,SERVICEWEAR APPAREL,OMNIA-0057,Uniforms & Branded Apparel,Uniforms & Branded Apparel,"Corporate Services, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/servicewear-apparel/private-sector,https://www.omniapartners.com/suppliers/servicewear-apparel/private-sector,active
58,OMNIA,PaveConnect,PAVECONNECT,OMNIA-0058,Paving Services,Paving Services,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/paveconnect/private-sector,https://www.omniapartners.com/suppliers/paveconnect/private-sector,active
59,OMNIA,Club Car,CLUB CAR,OMNIA-0059,Golf Carts & Utility Vehicles,Golf Carts & Utility Vehicles,"Freight & Logistics, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/club-car-inc/private-sector,https://www.omniapartners.com/suppliers/club-car-inc/private-sector,active
60,OMNIA,GameTime,GAMETIME,OMNIA-0060,Outdoor Furniture & Recreation Environments,Outdoor Furniture & Recreation Environments,"Facilities, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/gametime/private-sector,https://www.omniapartners.com/suppliers/gametime/private-sector,active
61,OMNIA,KBS,KBS,OMNIA-0061,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/kbs/private-sector,https://www.omniapartners.com/suppliers/kbs/private-sector,active
62,OMNIA,Republic Services,REPUBLIC SERVICES,OMNIA-0062,Waste Management & Recycling,Waste Management & Recycling,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/republic-services-inc/private-sector,https://www.omniapartners.com/suppliers/republic-services-inc/private-sector,active
63,OMNIA,"Tork, An Essity Brand","TORK, AN ESSITY BRAND",OMNIA-0063,Janitorial & Sanitation Solutions,Janitorial & Sanitation Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/tork-an-essity-brand/private-sector,https://www.omniapartners.com/suppliers/tork-an-essity-brand/private-sector,active
64,OMNIA,Lakeshore Learning,LAKESHORE LEARNING,OMNIA-0064,Educational Supplies,Educational Supplies,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/lakeshore-learning/private-sector,https://www.omniapartners.com/suppliers/lakeshore-learning/private-sector,active
65,OMNIA,RR Donnelley,RR DONNELLEY,OMNIA-0065,"Print, Packing & Marketing Solutions","Print, Packing & Marketing Solutions","Corporate Services, Manufacturing Materials & Services","Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/rr-donnelley/private-sector,https://www.omniapartners.com/suppliers/rr-donnelley/private-sector,active
66,OMNIA,Knight Facilities,KNIGHT FACILITIES,OMNIA-0066,Facilities Solutions,Facilities Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/knight-facilities/private-sector,https://www.omniapartners.com/suppliers/knight-facilities/private-sector,active
67,OMNIA,FTD,FTD,OMNIA-0067,Floral & Gifts,Floral & Gifts,Corporate Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/ftd-companies/private-sector,https://www.omniapartners.com/suppliers/ftd-companies/private-sector,active
68,OMNIA,Lawson Products,LAWSON PRODUCTS,OMNIA-0068,Industrial Supplies & MRO,Industrial Supplies & MRO,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/lawson-products/private-sector,https://www.omniapartners.com/suppliers/lawson-products/private-sector,active
69,OMNIA,Acolad,ACOLAD,OMNIA-0069,Language Translation Services,Language Translation Services,Corporate Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/acolad/private-sector,https://www.omniapartners.com/suppliers/acolad/private-sector,active
70,OMNIA,QuestMark,QUESTMARK,OMNIA-0070,Flooring,Flooring,Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/questmark/private-sector,https://www.omniapartners.com/suppliers/questmark/private-sector,active
71,OMNIA,Blue Sky Capital,BLUE SKY CAPITAL,OMNIA-0071,Leasing Services,Leasing Services,Financial Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,MBE,https://www.omniapartners.com/suppliers/blue-sky-capital-strategies/private-sector,https://www.omniapartners.com/suppliers/blue-sky-capital-strategies/private-sector,active
72,OMNIA,ODP Business Solutions,ODP BUSINESS SOLUTIONS,OMNIA-0072,IT Products & Services,IT Products & Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/odp-business-solutions/private-sector,https://www.omniapartners.com/suppliers/odp-business-solutions/private-sector,active
73,OMNIA,Heritage Bag,HERITAGE BAG,OMNIA-0073,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/heritage-bag/private-sector,https://www.omniapartners.com/suppliers/heritage-bag/private-sector,active
74,OMNIA,Summa Linguae,SUMMA LINGUAE,OMNIA-0074,Language Translation Services,Language Translation Services,Corporate Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/summa-linguae/private-sector,https://www.omniapartners.com/suppliers/summa-linguae/private-sector,active
75,OMNIA,GOJO,GOJO,OMNIA-0075,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/gojo-industries/private-sector,https://www.omniapartners.com/suppliers/gojo-industries/private-sector,active
76,OMNIA,Nexair,NEXAIR,OMNIA-0076,Industrial Gases,Industrial Gases,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,,,active
77,OMNIA,KOMPAN,KOMPAN,OMNIA-0077,Outdoor Furniture & Recreation Environments,Outdoor Furniture & Recreation Environments,"Facilities, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/kompan/private-sector,https://www.omniapartners.com/suppliers/kompan/private-sector,active
78,OMNIA,Tradition Energy,TRADITION ENERGY,OMNIA-0078,Energy Management,Energy Management,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/tradition-energy/private-sector,https://www.omniapartners.com/suppliers/tradition-energy/private-sector,active
79,OMNIA,Workspend,WORKSPEND,OMNIA-0079,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,"MBE,WBE",https://www.omniapartners.com/suppliers/workspend-inc/private-sector,https://www.omniapartners.com/suppliers/workspend-inc/private-sector,active
80,OMNIA,Grainger,GRAINGER,OMNIA-0080,Grainger Canada: Industrial & MRO Solutions,Grainger Canada: Industrial & MRO Solutions,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada; Global,,https://www.omniapartners.com/suppliers/grainger/private-sector,https://www.omniapartners.com/suppliers/grainger/private-sector,active
81,OMNIA,Altour,ALTOUR,OMNIA-0081,Travel & Meeting Management Solutions,Travel & Meeting Management Solutions,Travel,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/altour/private-sector,https://www.omniapartners.com/suppliers/altour/private-sector,active
82,OMNIA,Rubbermaid Commercial Products,RUBBERMAID COMMERCIAL PRODUCTS,OMNIA-0082,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/rubbermaid-commercial-products/private-sector,https://www.omniapartners.com/suppliers/rubbermaid-commercial-products/private-sector,active
83,OMNIA,HON Company,HON,OMNIA-0083,Furniture & Workspace Solutions,Furniture & Workspace Solutions,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/hon/private-sector,https://www.omniapartners.com/suppliers/hon/private-sector,active
84,OMNIA,Ramp,RAMP,OMNIA-0084,Corporate Cards and Finance Automation,Corporate Cards and Finance Automation,Financial Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/ramp/private-sector,https://www.omniapartners.com/suppliers/ramp/private-sector,active
85,OMNIA,Andrews Moving and Storage,ANDREWS MOVING AND STORAGE,OMNIA-0085,Corporate and Industrial Relocation Services,Corporate and Industrial Relocation Services,Corporate Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,WBE,https://www.omniapartners.com/suppliers/andrews-moving-and-storage/private-sector,https://www.omniapartners.com/suppliers/andrews-moving-and-storage/private-sector,active
86,OMNIA,Airgas,AIRGAS,OMNIA-0086,Industrial Gases,Industrial Gases,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/airgas/private-sector,https://www.omniapartners.com/suppliers/airgas/private-sector,active
