id,source,supplier_name,supplier_normalized,contract_number,title,description,category,eligible_industries,contract_type,start_date,end_date,geographic_coverage,diversity_status,contract_url,supplier_url,status
68,OMNIA,Lawson Products,LAWSON PRODUCTS,,Industrial Supplies & MRO,Industrial Supplies & MRO,Facilities,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/lawson-products/private-sector,,active
69,OMNIA,Acolad,ACOLAD,,Language Translation Services,Language Translation Services,Corporate Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/acolad/private-sector,,active
70,OMNIA,QuestMark,QUESTMARK,,Flooring,Flooring,Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/questmark/private-sector,,active
71,OMNIA,Blue Sky Capital,BLUE SKY CAPITAL,,Leasing Services,Leasing Services,Financial Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,MBE,https://www.omniapartners.com/suppliers/blue-sky-capital-strategies/private-sector,,active
72,OMNIA,ODP Business Solutions,ODP BUSINESS SOLUTIONS,,IT Products & Services,IT Products & Services,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/odp-business-solutions/private-sector,,active
73,OMNIA,Heritage Bag,HERITAGE BAG,,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/heritage-bag/private-sector,,active
74,OMNIA,Summa Linguae,SUMMA LINGUAE,,Language Translation Services,Language Translation Services,Corporate Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/summa-linguae/private-sector,,active
75,OMNIA,GOJO,GOJO,,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/gojo-industries/private-sector,,active
76,OMNIA,Nexair,NEXAIR,,Industrial Gases,Industrial Gases,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/solutions/contract-offerings,,active
77,OMNIA,KOMPAN,KOMPAN,,Outdoor Furniture & Recreation Environments,Outdoor Furniture & Recreation Environments,"Facilities, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/kompan/private-sector,,active
78,OMNIA,Tradition Energy,TRADITION ENERGY,,Energy Management,Energy Management,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/tradition-energy/private-sector,,active
79,OMNIA,Workspend,WORKSPEND,,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,"MBE,WBE",https://www.omniapartners.com/suppliers/workspend-inc/private-sector,,active
80,OMNIA,Grainger,GRAINGER,,Grainger Canada: Industrial & MRO Solutions,Grainger Canada: Industrial & MRO Solutions,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada; Global,,https://www.omniapartners.com/suppliers/grainger/private-sector,,active
81,OMNIA,Altour,ALTOUR,,Travel & Meeting Management Solutions,Travel & Meeting Management Solutions,Travel,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/altour/private-sector,,active
82,OMNIA,Rubbermaid Commercial Products,RUBBERMAID COMMERCIAL PRODUCTS,,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/rubbermaid-commercial-products/private-sector,,active
83,OMNIA,HON Company,HON,,Furniture & Workspace Solutions,Furniture & Workspace Solutions,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada,,https://www.omniapartners.com/suppliers/hon/private-sector,,active
84,OMNIA,Ramp,RAMP,,Corporate Cards and Finance Automation,Corporate Cards and Finance Automation,Financial Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/ramp/private-sector,,active
85,OMNIA,Andrews Moving and Storage,ANDREWS MOVING AND STORAGE,,Corporate and Industrial Relocation Services,Corporate and Industrial Relocation Services,Corporate Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,WBE,https://www.omniapartners.com/suppliers/andrews-moving-and-storage/private-sector,,active
86,OMNIA,Airgas,AIRGAS,,Industrial Gases,Industrial Gases,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/airgas/private-sector,,active
87,OMNIA,Orkin,ORKIN,,Pest Control,Pest Control,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/orkin/private-sector,,active
88,OMNIA,Garland,GARLAND,,Roofing,Roofing,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/garland/private-sector,,active
89,OMNIA,Milliken,MILLIKEN,,Flooring,Flooring,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/milliken-company/private-sector,,active
90,OMNIA,Choctaw-Kaul,CHOCTAW-KAUL,,First Aid & Safety Solutions,First Aid & Safety Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,MBE,https://www.omniapartners.com/suppliers/choctaw-kaul/private-sector,,active
91,OMNIA,Bearing Headquarters,BEARING HEADQUARTERS,,"Bearings, Belts & Drivers","Bearings, Belts & Drivers",Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/solutions/contract-offerings,,active
92,OMNIA,DHL,DHL,,Small Parcel,Small Parcel,"Corporate Services, Freight & Logistics","Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/dhl-express/private-sector,,active
93,OMNIA,Vending Group,VENDING GROUP,,Vending Management,Vending Management,Corporate Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,WBE,https://www.omniapartners.com/suppliers/vending-group/private-sector,,active
94,OMNIA,RingCentral,RINGCENTRAL,,Conferencing & Unified Communications,Conferencing & Unified Communications,IT & Telecom,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/ringcentral/private-sector,,active
95,OMNIA,SpyGlass,SPYGLASS,,Telecommunications Management,Telecommunications Management,IT & Telecom,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/spyglass/private-sector,,active
96,OMNIA,Direct Travel,DIRECT TRAVEL,,Travel Management,Travel Management,Travel,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/direct-travel/private-sector,,active
97,OMNIA,Sit On It,SIT ON IT,,Furniture & Workspace Solutions,Furniture & Workspace Solutions,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/sit-on-it,,active
98,OMNIA,Varisource,VARISOURCE,,Vendor Management Software & IT Marketplace,Vendor Management Software & IT Marketplace,IT & Telecom,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/varisource/private-sector,,active
99,OMNIA,Simplify,SIMPLIFY,,Contingent Workforce Solutions,Contingent Workforce Solutions,Human Resources,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,MBE,https://www.omniapartners.com/suppliers/simplify-workforce-inc/private-sector,,active
100,OMNIA,Spartan Chemical,SPARTAN CHEMICAL,,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/spartan-chemical/private-sector,,active
101,OMNIA,Sanitaire,SANITAIRE,,Janitorial Solutions,Janitorial Solutions,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/sanitaire/private-sector,,active
102,OMNIA,MPS Group,MPS GROUP,,Waste Management & Recycling,Waste Management & Recycling,Facilities,"Enterprise, Corporate, Private Equity",,,,Canada,MBE,https://www.omniapartners.com/suppliers/mps-group/private-sector,,active
103,OMNIA,United Waste Solutions,UNITED WASTE SOLUTIONS,,Waste Management & Recycling,Waste Management & Recycling,Facilities,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/united-waste-solutions/private-sector,,active
104,OMNIA,Baker Manufacturing,BAKER MANUFACTURING,,Gear Pumps,Gear Pumps,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/baker-manufacturing-co-haight-pumps/private-sector,,active
105,OMNIA,ASE Direct,ASE DIRECT,,Remanufactured Imaging Supplies,Remanufactured Imaging Supplies,Corporate Services,"Enterprise, Corporate, Private Equity",,,,Canada,VBE,https://www.omniapartners.com/suppliers/ase-direct/private-sector,,active
106,OMNIA,Pratt Corrugated,PRATT CORRUGATED,,Corrugated,Corrugated,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/solutions/contract-offerings,,active
107,OMNIA,SupplyOne,SUPPLYONE,,Corrugated & Packaging Supplies,Corrugated & Packaging Supplies,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Canada,,https://www.omniapartners.com/suppliers/supplyone/private-sector,,active
108,OMNIA,Miller Wood Products,MILLER WOOD PRODUCTS,,Pallets,Pallets,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/solutions/contract-offerings,,active
109,OMNIA,T&S Brass,T&S BRASS,,Faucets & Fittings,Faucets & Fittings,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/solutions/contract-offerings,,active
110,OMNIA,Pacor,PACOR,,Insulation,Insulation,Manufacturing Materials & Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/solutions/contract-offerings,,active
111,OMNIA,Clover Imaging Group,CLOVER IMAGING GROUP,,Copy & Print,Copy & Print,Corporate Services,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/clover/private-sector,,active
112,OMNIA,Echo Global Logistics,ECHO GLOBAL LOGISTICS,,Managed Transportation Services,Managed Transportation Services,Freight & Logistics,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/echo-global-logistics/private-sector,,active
113,OMNIA,Schneider Logistics,SCHNEIDER LOGISTICS,,Logistics & Managed Transportation Services,Logistics & Managed Transportation Services,Freight & Logistics,"Enterprise, Corporate, Private Equity",,,,United States,,https://www.omniapartners.com/suppliers/schneider-logistics/private-sector,,active
